cleaned_negative,polarity_negative,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2021
restaur,0.0,positive,10.0,United States of America,Family Suite with Balcony,Group,10,2021
locat want center everyth didnt,-0.1,positive,8.0,Jordan,Double Room with Balcony,Solo traveler,10,2021
nois hallway loud door sound proof couldnt sleep nois come around,0.25,positive,8.0,Romania,Double Room with Balcony,Group,10,2021
smell lake doesn’t depend hotel,0.0,positive,10.0,Ukraine,Two-Bedroom Suite,Group,10,2021
,0.0,positive,9.0,Ukraine,Double Room with Balcony,Solo traveler,10,2021
,0.0,positive,9.0,Sweden,Double Room,Couple,10,2021
room bit cramp could fit may uniqu case rather disturb odor sewag came drain smell could felt street day well,0.4,positive,9.0,Hungary,Double Room with Balcony,Couple,10,2021
,0.0,positive,9.0,Ukraine,Double Room with Balcony,Couple,10,2021
noth perfect,1.0,positive,10.0,Germany,Double Room with Balcony,Solo traveler,10,2021
spot,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Group,10,2021
wifi room wasnt great work day need strong wifi cafe nero minut away perfect,0.7444444444444445,positive,9.0,United Kingdom,Double Room,Solo traveler,9,2021
size room bit small,-0.25,positive,10.0,United States of America,Double Room,Couple,10,2021
noth,0.0,positive,10.0,Qatar,Double Room with Balcony,Solo traveler,10,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
couldn’t fault,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
noth,0.0,positive,9.0,Australia,Double Room,Solo traveler,9,2021
th floor window balconi door lock could still hear outsid nois,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2021
thing,0.0,positive,10.0,Russia,Double Room with Balcony,Solo traveler,9,2021
bit farther away hotel bit trek get get busier beach bar area good water sport quieter beach,0.7,positive,10.0,United Kingdom,Standard Triple Room,Solo traveler,7,2021
,0.0,positive,10.0,United Kingdom,Double Room,Couple,8,2021
,0.0,positive,10.0,Russia,Double Room with Balcony,Group,9,2021
good,0.7,positive,9.0,United Kingdom,Standard Triple Room,Couple,9,2021
not,0.0,positive,9.0,United Kingdom,Double Room,Solo traveler,9,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
book taxi airport show,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
happi everyth,0.0,positive,10.0,United Kingdom,Double Room,Couple,9,2021
aircraft nois bother nois aircraft land take may issu young famili want quiet area,0.05,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
slight smell toilet night pretti far major tourist spot,-0.009374999999999994,positive,9.0,Poland,Double Room with Balcony,Couple,9,2021
noth didn’t like,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2021
,0.0,positive,10.0,Czech Republic,Double Room,Group,9,2021
weak wifi hotel new staff although friendli still need improv organis collabor pool tini far centr town,-0.04621212121212121,positive,9.0,Spain,Double Room with Balcony,Solo traveler,9,2021
,0.0,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,9,2021
noth complain,0.0,positive,9.0,Russia,Double Room with Balcony,Family,9,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2021
,0.0,positive,9.0,Lebanon,Double Room with Balcony,Couple,9,2021
na,0.0,positive,8.0,Slovakia,Standard Triple Room,Group,8,2021
good locat nice atmospher,0.6499999999999999,positive,10.0,Australia,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,Norway,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,8.0,Angola,Double Room with Balcony,Couple,8,2021
,0.0,positive,10.0,Poland,Double Room with Balcony,Couple,8,2021
,0.0,positive,10.0,Hungary,Double Room with Balcony,Couple,8,2021
,0.0,positive,10.0,United Kingdom,Standard Triple Room,Family,8,2021
,0.0,positive,9.0,Austria,Standard Triple Room,Family,7,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
,0.0,positive,10.0,Spain,Two-Bedroom Suite,Family,8,2021
noth,0.0,positive,10.0,Germany,Standard Triple Room,Group,8,2021
mostli bathroom floor sink close tape bug think special case dont think hotel room issu,0.35714285714285715,positive,8.0,Saudi Arabia,Double Room with Balcony,Couple,8,2021
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
wifi,0.0,positive,10.0,Ukraine,Family Suite with Balcony,Group,8,2021
tv channel big problem,0.0,positive,9.0,Lithuania,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,Russia,Double Room with Balcony,Couple,7,2021
pool could bigger you’r right next amaz beach “mckenzi beach” didn’t matter,0.09523809523809523,positive,10.0,United Kingdom,Double Room,Family,8,2021
,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,8,2021
,0.0,positive,10.0,Cyprus,Double Room,Couple,8,2021
,0.0,positive,10.0,France,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,Russia,Family Suite with Balcony,Family,8,2021
option breakfast,0.0,positive,10.0,Czech Republic,Double Room with Balcony,Couple,7,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
,0.0,positive,8.0,Lebanon,Double Room with Balcony,Couple,8,2021
didn’t find anyth neg,0.0,positive,10.0,Ukraine,Two-Bedroom Suite,Family,8,2021
,0.0,positive,10.0,Saudi Arabia,Double Room with Balcony,Solo traveler,8,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,8,2021
noth neg say properti wonder stay n,0.0,positive,10.0,United States of America,Two-Bedroom Suite,Family,8,2021
noth,0.0,positive,10.0,United Kingdom,Family Suite with Balcony,Family,7,2021
noth,0.0,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,8,2021
noth,0.0,positive,10.0,Lebanon,Double Room with Balcony,Family,7,2021
,0.0,positive,9.0,United Arab Emirates,Family Suite with Balcony,Family,7,2021
close surround excit clean,0.3666666666666667,positive,9.0,Cyprus,Double Room with Balcony,Family,7,2021
,0.0,positive,10.0,Cyprus,Standard Triple Room,Family,7,2021
,0.0,positive,8.0,Malta,Double Room with Balcony,Family,7,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Group,7,2021
,0.0,positive,10.0,Germany,Double Room with Balcony,Solo traveler,7,2021
need renov lobbi common area well elev night light common area didnt work well,-0.06666666666666665,positive,8.0,Cyprus,Double Room with Balcony,Solo traveler,6,2021
,0.0,positive,8.0,Malta,Double Room with Balcony,Family,7,2021
room small smallest think,-0.25,positive,8.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
noth,0.0,positive,10.0,Saudi Arabia,Standard Triple Room,Solo traveler,7,2021
would great cloth dryer balconi bathroom swim nowher dri wet cloth towel room clean hotel provid bottl water expens hotel demonstr care client one bottl check none rest night,0.3555555555555556,positive,8.0,Ukraine,Standard Triple Room,Couple,7,2021
,0.0,positive,9.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
,0.0,positive,10.0,Lebanon,Double Room with Balcony,Family,7,2021
,0.0,positive,10.0,Czech Republic,Double Room with Balcony,Family,7,2021
bit small room,-0.25,positive,9.0,Malta,Double Room with Balcony,Group,7,2021
noth,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
lock balconi door broken howev sayd repair ask wasnt done lock wasnt close see problem caus door unlock theoret anyon could open door balconi nois street enter room crack almost broke shower door caus open shower door touch toilet,-0.10833333333333334,positive,8.0,Israel,Double Room with Balcony,Solo traveler,7,2021
,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,7,2021
,0.0,positive,10.0,Switzerland,Double Room with Balcony,Solo traveler,7,2021
,0.0,positive,10.0,Bahrain,Double Room with Balcony,Solo traveler,7,2021
minor point bar hang cloth room thing felt miss improv stay,-0.05,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2021
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Group,6,2021
taller peopl care doorway lead elev headbumped…,0.0,positive,10.0,Lithuania,Double Room with Balcony,Solo traveler,6,2021
,0.0,positive,10.0,Ireland,Double Room with Balcony,Group,7,2021
,0.0,positive,9.0,United States of America,Two-Bedroom Suite,Family,6,2021
,0.0,positive,10.0,Germany,Double Room with Balcony,Couple,6,2021
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Group,6,2021
bottl hairbodi wash empti aircon one uncontrol speed adapt cy socket blanket warm summer night,0.6,positive,8.0,Russia,Double Room with Balcony,Couple,6,2021
,0.0,positive,9.0,Bulgaria,Double Room with Balcony,Solo traveler,6,2021
noth,0.0,positive,10.0,Ireland,Double Room with Balcony,Solo traveler,6,2021
,0.0,positive,10.0,Israel,Double Room with Balcony,Solo traveler,6,2021
wish stay longer,0.0,positive,10.0,Canada,Double Room with Balcony,Solo traveler,5,2021
,0.0,positive,10.0,Denmark,Double Room with Balcony,Couple,5,2021
noth,0.0,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,5,2021
,0.0,neutral,7.0,United States of America,Suite with Balcony,Family,11,2022
breakfast could varieti cereal offer ordinari tea offer al earl grey proper plan tea hotel access wheelchair ramp eu regul steep realli need sort ramp right outsid danger surpris wasnt wheel ramp think bookingcom investig,0.07857142857142857,neutral,5.0,United Kingdom,Double Room with Balcony,Group,11,2022
time nois week peopl pick rubbish larg lorri,0.0,neutral,7.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2022
beach front impress,0.0,neutral,7.0,United Kingdom,Double Room with Balcony,Group,11,2022
enough pillow,0.0,neutral,6.0,United Kingdom,Budget Twin Room,Group,11,2022
bed soft uncomfort park limit,0.1,neutral,6.0,Cyprus,Double Room with Balcony,Solo traveler,10,2022
window close front build look right room,0.2857142857142857,neutral,7.0,Armenia,Budget Twin Room,Family,10,2022
noth close mini mart restaur decent,0.16666666666666666,neutral,6.0,United States of America,Double Room with Balcony,Solo traveler,8,2022
street park,0.0,neutral,7.0,Cyprus,Two-Bedroom Suite,Group,9,2022
variou thing would love see improv list shower room inconvini place make mess insuffici coverag bathroom glass edg shower wall tile shower floor need replac hollow seem moldi bin rusti mirror weirdli place right sink due placement curtain lot light get room morn design park park wherev find request late check pm got appreci howev got call prompt u check normal time pm next custom would arriv exllain thay grant late check clerk apologis problem find import keep staff updat thing,0.03357142857142857,negative,4.0,Cyprus,Double Room with Balcony,Couple,9,2022
kind unpleas smell bathroom,0.6,neutral,7.0,Germany,Standard Triple Room,Family,9,2022
guesthous price like hotel,0.0,negative,3.0,Israel,Two-Bedroom Suite,Family,9,2022
size room one smallest ever seen space suitcas wardrob sit area terrac sun hit time except earli morn money use pay better hotel valencia get one small water bottl,0.125,negative,4.0,Egypt,Double Room with Balcony,Family,8,2022
get bit expens room bit small suit breakfast includ tri one time restaur low qualiti compar origin greek breakfast didnt eat,-0.08333333333333333,neutral,7.0,Germany,Two-Bedroom Suite,Couple,8,2022
duvet winter even degre celsiu ac unbear simpl sheet bed either choic close ac go without cover could open window noisi also window soundproof whatsoev nois much gave duvet chanc got open window nois went leav catch flight am good night sleep also room hair dryer kettl could use plug fit socket hotel didnt provid adaptor use servic room either,0.25999999999999995,neutral,6.0,Cyprus,Double Room with Balcony,Couple,7,2022
restaur offer rather narrow set choic compar list menu room quit small,-0.225,neutral,7.0,United Kingdom,Double Room,Solo traveler,4,2022
bath room clean rather superfici medium nice hair remov,0.48333333333333334,neutral,6.0,Germany,Double Room with Balcony,Solo traveler,4,2022
cold floor room,-0.6,neutral,7.0,Denmark,Double Room,Solo traveler,3,2022
room littl cold hotel hadn’t yet open season littl hard find,-0.2972222222222222,neutral,7.0,United Kingdom,Two-Bedroom Suite,Family,3,2022
season bar restaur pool clear book,0.09999999999999999,neutral,5.0,United Kingdom,Double Room,Solo traveler,1,2022
couldn’t wait min fractur ankl need chang bandag ladi hous liter stand next door cleaner clean room left without chang bandag outsid street,0.12222222222222223,neutral,6.0,United Kingdom,Double Room with Balcony,Couple,11,2021
breakfast averag,0.0,neutral,7.0,Poland,Standard Triple Room,Family,10,2021
,0.0,neutral,6.0,Cyprus,Double Room with Balcony,Solo traveler,11,2021
bed pillow uncomfort telli work properli,0.0,neutral,7.0,United Kingdom,Double Room,Solo traveler,11,2021
complimentari coffeetea bedroom replenish first night one coffe sachet doubl room whatev use fridg also replenish thin curtain allow light come bedroom draw thick curtain want privaci,-0.012499999999999997,neutral,7.0,United Kingdom,Double Room with Balcony,Couple,10,2021
book taxi morn go airport frustrat host didnt inform u taxi doubl book instead orden anoth u,0.0,neutral,7.0,Netherlands,Double Room with Balcony,Couple,10,2021
,0.0,neutral,7.0,Jordan,Double Room with Balcony,Solo traveler,9,2021
properti feel cold without warm invit atmospher it’ minimalist room nice size unfortun situat top outsid bar area twin bed provid pillow comfort shower bathroom open infront result whole floor wet properti great potenti care,0.25,neutral,5.0,Cyprus,Double Room with Balcony,Solo traveler,9,2021
noth report,0.0,neutral,7.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
safe didn’t work back door balconi bedroom wouldn’t lock disturb sign didn’t work electron ask doubl bed got two singl bed next eachoth noisi guest wait minut someon come greet u check one desk guy desk told u paid took pictur passport hotel strang,0.16666666666666666,negative,1.0,United Kingdom,Family Suite with Balcony,Couple,9,2021
noisi neighborhood,0.0,neutral,7.0,Poland,Double Room with Balcony,Solo traveler,8,2021
locat great pool even consid overal hotel instal badli maintain it’ front pension close peopl could see colour underwear aircon strong we’d open window big mistak noisi i’v ask quiet room lift broke guy offend becaw ask see room paying… pictur room accur fot hotel instal pool look ‘pasithea apartments’,0.24666666666666667,neutral,5.0,Switzerland,Family Suite with Balcony,Family,8,2021
free breakfast option howev book properti advanc higher price bookingcom reduc price travel date hotel refus accept lower price felt unfair charg twice cancel rebook mayb bookingcom issu hotel quit unhappi sinc justifi owner spoke ali bookingcom said cancel charg charg me need put lock bathroom shower glass door insid els get messi wifi good,0.2125,neutral,7.0,United Arab Emirates,Standard Triple Room,Group,7,2021
way room furnish comfort,0.0,neutral,7.0,Qatar,Double Room,Solo traveler,8,2021
noisi limit food option probabl renov work progress item readi exampl rod hanger wardrob safe wasn’t fix,0.5,neutral,5.0,United Arab Emirates,Double Room with Balcony,Solo traveler,7,2021
tv work garbag truck pass incred nois,0.0,neutral,7.0,France,Double Room with Balcony,Couple,7,2021
rate expens offer clean servic day stay empti garbag also ask fresh towel even hanger cloth closet,0.33333333333333337,neutral,7.0,Greece,Double Room with Balcony,Solo traveler,7,2021
plumb complic twice moreov clean crew clean room threw box cooki next bag meant gift cooki made thessaloniki cost u euro ask seem owner brought trash room offer spray would accept edibl gift covid pandem caution nice tri refund u cooki lost feel bad write neg review kind howev thing near garbag thrown stuff next guest belong extrem disappoint dealt situat thought accept take edibl gift trash room continu noth happen,0.1666666666666667,negative,4.0,United States of America,Standard Triple Room,Family,7,2021
,0.0,positive,10.0,United Kingdom,,Family,7,2022
,0.0,positive,9.0,United Kingdom,,Family,6,2022
wasn’t fan bathroom open window requir,0.0,positive,8.0,United Kingdom,,Group,6,2022
noth,0.0,positive,10.0,United States of America,,Solo traveler,11,2021
,0.0,positive,8.0,Russia,,Family,10,2021
applic,0.0,positive,10.0,Hungary,,Solo traveler,9,2021
swim pool could cleaner,0.0,positive,9.0,Czech Republic,,Solo traveler,9,2021
,0.0,positive,10.0,Australia,,Group,9,2021
,0.0,positive,8.0,United Kingdom,,Family,8,2021
mayb littl way main town,0.16666666666666666,positive,10.0,United Kingdom,,Solo traveler,8,2021
,0.0,positive,10.0,Germany,,Family,7,2021
,0.0,positive,10.0,Cyprus,,Solo traveler,6,2021
overpr facil your lucki may one park side poor lunch breakfast,-0.4,negative,1.0,Cyprus,,Couple,9,2021
floor clean enough full dust water drain flood room,0.2388888888888889,positive,8.0,Israel,Double Room with Balcony,Solo traveler,12,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Group,12,2022
,0.0,positive,10.0,Israel,Double Room,Family,12,2022
,0.0,positive,10.0,Israel,Double Room,Family,12,2022
,0.0,positive,10.0,Switzerland,Double Room with Balcony,Solo traveler,11,2022
noth,0.0,positive,9.0,France,Double Room,Couple,11,2022
waze blame didnt like less help guid local explain second,-0.05555555555555555,positive,10.0,Israel,Double Room,Solo traveler,11,2022
room soundproof enough,0.0,positive,8.0,Slovakia,Standard Triple Room,Family,11,2022
main reason give highest rate nois neighbor hotelshous shower time day made unpleas nois problem seal close window,0.16666666666666666,positive,9.0,Bulgaria,Two-Bedroom Suite,Group,9,2022
bit far town room bit small,-0.075,positive,8.0,France,Double Room,Family,11,2022
,0.0,positive,10.0,Romania,Double Room,Family,11,2022
thing slightli flaw water shower even lukewarm,0.0,positive,9.0,Israel,Double Room with Balcony,Family,11,2022
,0.0,positive,10.0,France,Double Room with Balcony,Family,11,2022
,0.0,positive,10.0,Austria,Budget Twin Room,Group,10,2022
,0.0,positive,9.0,France,Double Room,Solo traveler,11,2022
noth,0.0,positive,10.0,Belgium,Family Suite with Balcony,Family,11,2022
nois room poorli soundproof hear neighbor move,0.0,positive,8.0,France,Two-Bedroom Suite,Family,10,2022
bed duvet much thick suffoc underneath hard bed noisi due heavi use tile steadi stream travel arrivingdepart airport throughout night use hotel stopov night near airport,-0.15416666666666667,positive,8.0,France,Standard Triple Room,Family,11,2022
,0.0,positive,10.0,Russia,Double Room,Solo traveler,10,2022
,0.0,positive,9.0,Greece,Double Room,Couple,10,2022
,0.0,positive,10.0,Israel,Family Suite with Balcony,Family,9,2022
,0.0,positive,9.0,Poland,Suite with Balcony,Family,10,2022
,0.0,positive,9.0,Austria,Standard Triple Room,Couple,10,2022
access airport close easi bu know,0.0,positive,9.0,France,Double Room with Balcony,Family,10,2022
,0.0,positive,10.0,Ukraine,Double Room,Couple,10,2022
sure problem accommod guest upper apart didnt stop make nois am hand go car even though openair car park close real odyssey abl park leav car far away,0.19999999999999998,positive,8.0,Spain,Two-Bedroom Suite,Family,9,2022
restaur hotel lobbi good although took rel long time food readi,0.32499999999999996,positive,9.0,Israel,Two-Bedroom Suite,Family,10,2022
,0.0,positive,10.0,Denmark,Double Room,Family,10,2022
environ bit unfriendli walk lot construct road bumpi,0.0,positive,10.0,Israel,Double Room,Family,10,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Group,10,2022
,0.0,positive,8.0,Germany,Budget Twin Room,Couple,9,2022
noth,0.0,positive,9.0,Italy,Double Room with Balcony,Solo traveler,9,2022
spent littl time hotel assess could improv posit experi use next time,-0.05,positive,9.0,Czech Republic,Double Room,Couple,10,2022
,0.0,positive,9.0,Italy,Double Room with Balcony,Couple,10,2022
,0.0,positive,10.0,France,Double Room,Solo traveler,9,2022
cramp third bed child suitabl babi minimalist room accessori,0.0,positive,8.0,Israel,Double Room,Family,10,2022
noth,0.0,positive,10.0,Italy,Double Room,Family,10,2022
,0.0,positive,9.0,Israel,Double Room with Balcony,Family,10,2022
room tight suitabl one night,-0.17857142857142858,positive,8.0,Israel,Two-Bedroom Suite,Family,10,2022
,0.0,positive,10.0,Israel,Standard Triple Room,Family,10,2022
,0.0,positive,9.0,Austria,Budget Twin Room,Couple,9,2022
,0.0,positive,10.0,France,Double Room,Solo traveler,10,2022
,0.0,positive,9.0,France,Double Room,Couple,10,2022
,0.0,positive,10.0,Israel,Standard Triple Room,Family,10,2022
,0.0,positive,10.0,France,Budget Twin Room,Family,10,2022
noth,0.0,positive,10.0,France,Double Room with Balcony,Family,10,2022
air condition cool enough,0.175,positive,9.0,Israel,Double Room with Balcony,Couple,10,2022
,0.0,positive,10.0,France,Double Room with Balcony,Family,10,2022
,0.0,positive,10.0,Czech Republic,Double Room,Couple,9,2022
,0.0,positive,10.0,Israel,Double Room,Couple,9,2022
,0.0,positive,8.0,Germany,Double Room with Balcony,Group,8,2022
,0.0,positive,10.0,Belgium,Suite with Balcony,Family,8,2022
anyth,0.0,positive,10.0,Honduras,Double Room with Balcony,Solo traveler,9,2022
,0.0,positive,10.0,Hungary,Two-Bedroom Suite,Solo traveler,9,2022
soundproof separ room plasterboard balconi furnitur set could refurbish set shampoo etc bathroom could offer pamper,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
,0.0,positive,10.0,Switzerland,Double Room,Family,9,2022
like rule,0.0,positive,10.0,Israel,Double Room with Balcony,Couple,9,2022
,0.0,positive,8.0,Israel,Double Room,Solo traveler,9,2022
,0.0,positive,10.0,France,Double Room,Group,9,2022
,0.0,positive,10.0,Poland,Budget Twin Room,Solo traveler,9,2022
,0.0,positive,10.0,France,Double Room,Solo traveler,9,2022
,0.0,positive,8.0,Switzerland,Two-Bedroom Suite,Family,9,2022
hot weather,0.25,positive,8.0,Netherlands,Budget Twin Room,Couple,9,2022
room may bit small longer stay sinc stay one night wasnt problem,-0.25,positive,9.0,Austria,Double Room,Couple,8,2022
,0.0,positive,10.0,Italy,Double Room with Balcony,Family,9,2022
room littl smaller averag larg bathroom shower,0.0,positive,10.0,Italy,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,Italy,Double Room,Solo traveler,8,2022
,0.0,positive,9.0,Sweden,Double Room with Balcony,Couple,8,2022
littl park nearbi arriv even,0.0,positive,8.0,Italy,Budget Twin Room,Group,8,2022
noth,0.0,positive,10.0,France,Standard Triple Room,Couple,8,2022
noth complain,0.0,positive,10.0,Germany,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,Ukraine,Standard Triple Room,Family,8,2022
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,8,2022
pay breakfast,0.0,positive,10.0,Germany,Standard Triple Room,Family,8,2022
,0.0,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
everyth alright,0.0,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
hotel seem freshen recent everyth seem flawless u,0.5,positive,10.0,Cyprus,Double Room with Balcony,Couple,8,2022
noth didnt like,0.0,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
,0.0,positive,9.0,Cyprus,Double Room with Balcony,Family,8,2022
,0.0,positive,8.0,Italy,Two-Bedroom Suite,Group,8,2022
bed could open less comfort toilet shower togeth less conveni,-0.09166666666666666,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
lack pool especi window see pool nearbi hotel overal good valu price paid,0.7,positive,9.0,Israel,Two-Bedroom Suite,Family,7,2022
breakfast offer independ servic correspond quantit qualit known level cypriot hospit gastronomi price € breakfast much expens reason valu term qualiti quantiti offer product,0.2,positive,8.0,Cyprus,Budget Twin Room,Family,8,2022
noth,0.0,positive,8.0,France,Standard Triple Room,Family,8,2022
like everyth,0.0,positive,10.0,Germany,Double Room,Couple,8,2022
hot water two night slept even complain said took care wasnt taken care,0.25,positive,8.0,Israel,Standard Triple Room,Family,8,2022
noth,0.0,positive,8.0,Italy,Double Room,Couple,8,2022
water bath cold stay middl august even david shemesh suppos arrang boil soup,-0.6,positive,8.0,Israel,Double Room,Couple,8,2022
room bit small seat,-0.25,positive,8.0,Cyprus,Budget Twin Room,Solo traveler,8,2022
,0.0,positive,8.0,France,Double Room,Couple,8,2022
,0.0,positive,10.0,Iceland,Standard Triple Room,Family,8,2022
,0.0,positive,8.0,Switzerland,Double Room,Couple,8,2022
,0.0,positive,10.0,Israel,Suite with Balcony,Group,8,2022
taxi driver pick u short drive airport rip u sure negoti price beforehand fault,0.25,positive,9.0,Germany,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,Israel,Standard Triple Room,Family,8,2022
,0.0,positive,10.0,France,Double Room,Couple,8,2022
,0.0,positive,9.0,Israel,Budget Twin Room,Couple,7,2022
elev need clean mayb complet renov would better,0.43333333333333335,positive,9.0,Greece,Double Room with Balcony,Solo traveler,7,2022
blue light balconi night interfer sleep open window,0.13333333333333333,positive,9.0,France,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Israel,Double Room,Family,7,2022
,0.0,positive,10.0,Israel,Double Room,Family,7,2022
air condit poor regul cold directli bodi heat,-0.5,positive,9.0,Spain,Two-Bedroom Suite,Family,7,2022
noth,0.0,positive,10.0,France,Double Room,Couple,7,2022
bottl water readi two peopl everyth els like,0.0,positive,9.0,Netherlands,Suite with Balcony,Family,7,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Couple,7,2022
,0.0,positive,9.0,Israel,Family Suite with Balcony,Group,7,2022
difficulti find park,0.0,positive,10.0,Cyprus,Suite with Balcony,Group,7,2022
,0.0,positive,10.0,France,Family Suite with Balcony,Family,7,2022
noth,0.0,positive,8.0,Italy,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Israel,Family Suite with Balcony,Family,7,2022
,0.0,positive,10.0,France,Two-Bedroom Suite,Family,7,2022
,0.0,positive,9.0,Germany,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Hungary,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,Germany,Double Room,Solo traveler,4,2022
work next door unfortun owner cant anyth,0.0,positive,8.0,France,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,Ukraine,Standard Triple Room,Family,7,2022
element,0.0,positive,8.0,Poland,Double Room with Balcony,Couple,6,2022
,0.0,positive,8.0,Cyprus,Family Suite with Balcony,Group,7,2022
,0.0,positive,8.0,Romania,Double Room with Balcony,Couple,7,2022
uncomfort fold bed child night could fall asleep also quit noisi night hear airplan music nightclub think appli hotel locat close airport,0.0,positive,9.0,Montenegro,Standard Triple Room,Family,7,2022
,0.0,positive,10.0,Norway,Family Suite with Balcony,Family,7,2022
noisi outsid,0.0,positive,8.0,Canada,Double Room with Balcony,Group,6,2022
slightli small bathroom still ok,0.125,positive,8.0,Italy,Budget Twin Room,Group,6,2022
,0.0,positive,9.0,Israel,Two-Bedroom Suite,Family,6,2022
nois nightclub comfort cot child cramp,0.0,positive,8.0,Montenegro,Standard Triple Room,Family,6,2022
,0.0,positive,10.0,Cyprus,Double Room,Couple,6,2022
,0.0,positive,10.0,Israel,Family Suite with Balcony,Group,6,2022
,0.0,positive,9.0,Germany,Double Room with Balcony,Couple,6,2022
qualiti televis imag quit poor,-0.4,positive,8.0,Belgium,Double Room,Couple,6,2022
,0.0,positive,10.0,Spain,Double Room with Balcony,Couple,6,2022
,0.0,positive,8.0,Brazil,Double Room with Balcony,Couple,6,2022
,0.0,positive,8.0,Germany,Double Room with Balcony,Couple,6,2022
room seal corridor hear everyth somewhat small steril room,-0.25,positive,8.0,Austria,Double Room with Balcony,Couple,6,2022
view room,0.0,positive,8.0,France,Budget Twin Room,Family,6,2022
size room enough spend one night much ridicul closet price perhap littl high comfort room give small soon enter go partner would disappoint due lack space,-0.0030000000000000027,positive,8.0,Spain,Double Room with Balcony,Solo traveler,6,2022
,0.0,positive,8.0,France,Suite with Balcony,Family,6,2022
ra,0.0,positive,10.0,France,Budget Twin Room,Couple,6,2022
small downsid concern light outsid certain time,0.12142857142857144,positive,9.0,France,Double Room,Couple,6,2022
room balconi stay one day fine live dri towel swimsuit,0.2765151515151515,positive,8.0,Latvia,Double Room,Solo traveler,6,2022
detail would appreci small bottl water room arriv,-0.25,positive,8.0,France,Double Room with Balcony,Couple,5,2022
order shuttl thought specif hotel turn lambda taxi problem wait minut late nobodi warn u pay straight away thought would includ hotel bill end stay would better indic directli independ hotel would wait front taxi tri reach everyon,0.13333333333333333,positive,9.0,France,Family Suite with Balcony,Family,5,2022
,0.0,positive,9.0,France,Double Room,Solo traveler,5,2022
noisi,0.0,positive,8.0,Germany,Double Room with Balcony,Couple,5,2022
